Gender;Age;Height;Weight;family_history_with_overweight;FAVC;FCVC;NCP;CAEC;SMOKE;CH2O;SCC;FAF;TUE;CALC;MTRANS;NObeyesdad
Female;21;162;6400;yes;no;200;300;Sometimes;no;200;no;0;1000;no;Public_Transportation;Normal_Weight
Female;21;152;5600;yes;no;300;300;Sometimes;yes;300;yes;300;0;Sometimes;Public_Transportation;Normal_Weight
Male;23;180;7700;yes;no;200;300;Sometimes;no;200;no;200;1000;Frequently;Public_Transportation;Normal_Weight
Male;27;180;8700;no;no;300;300;Sometimes;no;200;no;200;0;Frequently;Walking;Overweight_Level_I
Male;22;178;8980;no;no;200;100;Sometimes;no;200;no;0;0;Sometimes;Public_Transportation;Overweight_Level_II
Male;29;162;5300;no;yes;200;300;Sometimes;no;200;no;0;0;Sometimes;Automobile;Normal_Weight
Female;23;150;5500;yes;yes;300;300;Sometimes;no;200;no;100;0;Sometimes;Motorbike;Normal_Weight
Male;22;164;5300;no;no;200;300;Sometimes;no;200;no;300;0;Sometimes;Public_Transportation;Normal_Weight
Male;24;178;6400;yes;yes;300;300;Sometimes;no;200;no;100;1000;Frequently;Public_Transportation;Normal_Weight
Male;22;172;6800;yes;yes;200;300;Sometimes;no;200;no;100;1000;no;Public_Transportation;Normal_Weight
Male;26;185;10500;yes;yes;300;300;Frequently;no;300;no;200;2000;Sometimes;Public_Transportation;Obesity_Type_I
Female;21;172;8000;yes;yes;200;300;Frequently;no;200;yes;200;1000;Sometimes;Public_Transportation;Overweight_Level_II
Male;22;165;5600;no;no;300;300;Sometimes;no;300;no;200;0;Sometimes;Public_Transportation;Normal_Weight
Male;41;180;9900;no;yes;200;300;Sometimes;no;200;no;200;1000;Frequently;Automobile;Obesity_Type_I
Male;23;177;6000;yes;yes;300;100;Sometimes;no;100;no;100;1000;Sometimes;Public_Transportation;Normal_Weight
Female;22;170;6600;yes;no;300;300;Always;no;200;yes;200;1000;Sometimes;Public_Transportation;Normal_Weight
Male;27;193;10200;yes;yes;200;100;Sometimes;no;100;no;100;0;Sometimes;Public_Transportation;Overweight_Level_II
Female;29;153;7800;no;yes;200;100;Sometimes;no;200;no;0;0;no;Automobile;Obesity_Type_I
Female;30;171;8200;yes;yes;300;400;Frequently;yes;100;no;0;0;no;Automobile;Overweight_Level_II
Female;23;165;7000;yes;no;200;100;Sometimes;no;200;no;0;0;Sometimes;Public_Transportation;Overweight_Level_I
Male;22;165;8000;yes;no;200;300;Sometimes;no;200;no;300;2000;no;Walking;Overweight_Level_II
Female;52;169;8700;yes;yes;300;100;Sometimes;yes;200;no;0;0;no;Automobile;Obesity_Type_I
Female;22;165;6000;yes;yes;300;300;Sometimes;no;200;no;100;0;Sometimes;Automobile;Normal_Weight
Female;22;160;8200;yes;yes;100;100;Sometimes;no;200;no;0;2000;Sometimes;Public_Transportation;Obesity_Type_I
Male;21;185;6800;yes;yes;200;300;Sometimes;no;200;no;0;1000;Sometimes;Public_Transportation;Normal_Weight
Male;20;160;5000;yes;no;200;400;Frequently;yes;200;no;300;2000;no;Public_Transportation;Normal_Weight
Male;21;170;6500;yes;yes;200;100;Frequently;no;200;no;100;2000;Always;Walking;Normal_Weight
Female;23;160;5200;no;yes;200;400;Frequently;no;200;no;200;1000;Sometimes;Automobile;Normal_Weight
Male;19;175;7600;yes;yes;300;300;Sometimes;no;200;yes;300;1000;Sometimes;Public_Transportation;Normal_Weight
Male;23;168;7000;no;yes;200;300;Sometimes;no;200;no;200;2000;Frequently;Walking;Normal_Weight
Male;29;177;8300;no;yes;100;400;Frequently;no;300;no;0;1000;no;Motorbike;Overweight_Level_I
Female;31;158;6800;yes;no;200;100;Sometimes;no;100;no;100;0;Sometimes;Public_Transportation;Overweight_Level_II
